"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"15642 - NSVL - BLAN - NSVAS - Blandy","NSVL",15642,"15642U","BLAN","NSVAS - Blandy","S","+","Boyce","Clark","VA","5","39 03 20","-078 03 30","01S","-","-",39.05556,-78.05833,"-",200,13,28,"mixed hardwood/farmland/riparian",,,,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"02-06",5
"15643 - NSVL - GLEN - Glendobbin","NSVL",15643,"15643U","GLEN","Glendobbin","P","+","Winchester","Frederick","VA","5","39 14 20","-078 09 45","01S","-","-",39.23889,-78.1625,"-",300,13,28,"mixed hardwood/farmland",,,,,,,,,,,,,,"X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"02-06",5
"15644 - GRSM - PUKN - Purchase Knob","GRSM",15644,"15644U","PUKN","Purchase Knob","IP","+","Maggie Valley","Haywood","NC","5","35 35 05","-083 04 01","01S","hard copy topo","NAD27",35.58472,-83.06667,"x",1451,23,28,"northern hardwood/fraser fir tree farm",,,,,,,,,,,,,,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,"02-07",6
"15645 - ASRP - ASRP - Ashuelot River Park","ASRP",15645,"15645U","ASRP","Ashuelot River Park","C","+","Keene","Cheshire","NH","5","42 56 16","-072 17 24","01S","-","NAD83",42.93778,-72.29,"x",144,27,14,"riparian deciduous forest",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"X",,,,,,,,,,,,"02-13",12
"15646 - ATON - ATOS - Aton For.- Sandisfield Rd","ATON",15646,"15646U","ATOS","Aton For.- Sandisfield Rd","P","+","Norfolk","Litchfield","CT","5","42 01 58","-073 09 23","01S","-","-",42.03278,-73.15639,"-",435,27,14,"northern hardwood/hemlock with beaver pd",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,"02-10",9
"15647 - WING - PUNK - Punkhorn Parklands F. Sta","WING",15647,"15647U","PUNK","Punkhorn Parklands F. Sta","C","+","Brewster","Barnstable","MA","5","41 44 34","-070 07 11","01S","GPS","NAD27",41.74278,-70.11917,"x",14,9,30,"mixed woodland riparian corridor",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,"02-09",8
"15648 - CMAC - CMS1 - Constitution Marsh Sta. 1","CMAC",15648,"15648U","CMS1","Constitution Marsh Sta. 1","P","+","Cold Spring","Putnum","NY","5","41 24 05","-073 56 20","01S","Web - Google E.","NAD83",41.40139,-73.93889,"x",1,12,28,"tidal wetl./alder swamp/mixed d. forest",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,"02-11",10
"15649 - MARV - KANE - Kane Station","MARV",15649,"15630S","KANE","Kane Station","P","+","Kent","Litchfield","CT","5","41 47 00","-073 27 00","01S","Web - Google E.","NAD83",41.78333,-73.45,"x",396,27,28,"swamp woodland/pasture",,,,,,,,,,,,,,"X","X","X","X","X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,"02-09",8
"15650 - BBBO - KAIS - Kaiser - Manitou Beach","BBBO",15650,"15650S","KAIS","Kaiser - Manitou Beach","P","+","Hilton","Monroe","NY","5","43 19 19","-077 43 01","01S","Web - Google E.","NAD83",43.32194,-77.71694,"x",80,16,13,"young ash forest/fallow fields",,,,,,,,,,,,,,"X","X",,,,,,,,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X",,"02-03,09-",16
"15651 - BBBO - NBLD - North Blind","BBBO",15651,"15650S","NBLD","North Blind","S","+","Hilton","Monroe","NY","5","43 19 24","-077 43 19","01S","-","-",43.32333,-77.72194,"-",270,16,13,"mature ash woodland on lake shore",,,,,,,,,,,,,,"X","X",,,,,,,,,,,,,,,,,,,,,,,,,,,,"02-03",2
"15652 - POCO - LONG - Long Road","POCO",15652,"15652U","LONG","Long Road","P","+","Canadensis","Monroe","PA","5","41 12 45","-075 16 11","01S","web-topozone","NAD83",41.2125,-75.26972,"x",442,24,28,"deciduous forest/hemlock forest",,,,,,,,,,,,,"X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"01-06",6
